epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.906516,3.40329,7.70963,3.03788,0.01506,0.22973,0.02336,0.01073,2.32164,6.92229,2.38715,1.429e-05,1.429e-05,1.429e-05
2,1.30355,3.574,7.64477,3.10885,0.0105,0.23639,0.02342,0.0101,2.31555,6.92115,2.37885,4.26578e-05,4.26578e-05,4.26578e-05
3,1.66696,3.3729,7.63588,2.99306,0.00961,0.27089,0.02252,0.01008,2.31619,6.91873,2.3937,7.07426e-05,7.07426e-05,7.07426e-05
4,2.14283,3.62756,7.70912,3.20647,0.00835,0.26973,0.02008,0.0091,2.3167,6.91775,2.39069,9.85446e-05,9.85446e-05,9.85446e-05
5,2.56359,3.34517,7.67287,3.03666,0.0097,0.31385,0.03607,0.01557,2.28375,6.76144,2.23844,0.000126064,0.000126064,0.000126064
6,2.9902,2.8116,7.37133,2.62169,0.01571,0.52937,0.0981,0.05265,2.11764,6.44669,2.04786,0.0001533,0.0001533,0.0001533
7,3.41662,2.59682,6.82888,2.50663,0.01742,0.52821,0.1269,0.08499,2.15248,6.39607,2.05405,0.000180253,0.000180253,0.000180253
8,3.84564,2.72723,6.72366,2.56118,0.02134,0.58525,0.20739,0.12431,2.31149,6.4079,2.13824,0.000206923,0.000206923,0.000206923
9,4.28724,2.57046,6.41717,2.39421,0.02304,0.61974,0.16673,0.09715,2.4981,6.32379,2.19257,0.00023331,0.00023331,0.00023331
10,4.69023,2.55851,5.94031,2.39196,0.0294,0.71475,0.17802,0.10762,2.69303,6.22177,2.18629,0.000259414,0.000259414,0.000259414
11,5.10144,2.44774,5.77691,2.25425,0.02667,0.68808,0.19172,0.10442,2.6276,6.22526,2.19473,0.000285236,0.000285236,0.000285236
12,5.62047,2.51943,5.44546,2.31235,0.02551,0.76976,0.19575,0.11104,2.37899,6.1663,2.10538,0.000310774,0.000310774,0.000310774
13,6.02714,2.47056,5.1646,2.29793,0.02272,0.75527,0.20596,0.13265,2.29641,6.1686,2.12125,0.000336029,0.000336029,0.000336029
14,6.4485,2.56271,4.81767,2.34197,0.01987,0.71961,0.21631,0.11868,2.39326,6.24786,2.21974,0.000361002,0.000361002,0.000361002
15,6.86028,2.58292,4.68611,2.34387,0.0185,0.6828,0.19297,0.10552,2.32648,6.12495,2.17149,0.000385691,0.000385691,0.000385691
16,7.26722,2.47032,4.31118,2.26352,0.01724,0.65498,0.20194,0.10919,2.47414,6.24351,2.3106,0.000410098,0.000410098,0.000410098
17,7.67736,2.48561,4.1608,2.34357,0.01786,0.68396,0.21722,0.10488,2.44503,6.11059,2.28416,0.000434222,0.000434222,0.000434222
18,8.08856,2.45279,3.75788,2.26532,0.01748,0.66947,0.21797,0.11654,2.39124,6.03666,2.28621,0.000458062,0.000458062,0.000458062
19,8.58497,2.57285,3.82341,2.33933,0.01696,0.64048,0.22825,0.146,2.38925,6.03196,2.28137,0.00048162,0.00048162,0.00048162
20,9.18646,2.49952,3.64959,2.33914,0.01645,0.59011,0.21454,0.13199,2.66379,6.04311,2.40578,0.000504895,0.000504895,0.000504895
21,9.58873,2.48873,3.53656,2.3325,0.01832,0.61794,0.20882,0.12367,2.36773,5.95618,2.27494,0.000527887,0.000527887,0.000527887
22,9.99996,2.54507,3.62971,2.31236,0.01949,0.67498,0.22292,0.13181,2.39583,5.95824,2.31561,0.000550596,0.000550596,0.000550596
