epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.86818,1.27899,1.56054,1.35907,0.58155,0.63183,0.58902,0.35552,1.35936,1.13902,1.35929,0.00010003,0.00010003,0.00010003
2,4.26952,1.30041,1.46839,1.36163,0.62042,0.62525,0.59749,0.37109,1.3721,1.1203,1.35852,0.000212228,0.000212228,0.000212228
3,6.79761,1.28463,1.38186,1.33008,0.61834,0.63497,0.58635,0.3627,1.38833,1.12804,1.35087,0.000322162,0.000322162,0.000322162
4,9.09988,1.22976,1.34387,1.32186,0.5953,0.56489,0.55062,0.32931,1.52452,1.33015,1.43835,0.000429833,0.000429833,0.000429833
5,11.4346,1.21774,1.2952,1.27634,0.53496,0.38279,0.40979,0.22155,1.50757,1.70175,1.45041,0.000535241,0.000535241,0.000535241
6,13.7866,1.19799,1.3541,1.27911,0.42992,0.57148,0.47467,0.28027,1.41423,1.35372,1.39719,0.000638384,0.000638384,0.000638384
7,16.2006,1.22777,1.33769,1.32672,0.42647,0.57856,0.42498,0.24055,1.50282,1.55896,1.44989,0.000739265,0.000739265,0.000739265
8,18.631,1.28176,1.38185,1.36212,0.35375,0.36101,0.16463,0.08583,1.78206,3.54346,1.62064,0.000837881,0.000837881,0.000837881
9,21.0655,1.30236,1.46716,1.349,0.43504,0.1669,0.15598,0.07385,2.25534,3.87981,1.97334,0.000934234,0.000934234,0.000934234
10,23.5022,1.29351,1.35145,1.32017,0.48736,0.34928,0.37175,0.19379,1.72185,2.30821,1.55307,0.00102832,0.00102832,0.00102832
11,25.8866,1.29853,1.34987,1.347,0.50728,0.46399,0.43972,0.26192,1.436,1.53008,1.44688,0.00112015,0.00112015,0.00112015
12,28.3024,1.31716,1.46512,1.38597,0.60616,0.53909,0.5457,0.33315,1.43427,1.23505,1.42552,0.00120971,0.00120971,0.00120971
13,30.7359,1.265,1.41839,1.35682,0.58809,0.54603,0.49516,0.29362,1.54093,1.35566,1.5369,0.00125923,0.00125923,0.00125923
14,33.1686,1.29683,1.35157,1.36409,0.64511,0.59913,0.58932,0.32561,1.55054,1.25184,1.5258,0.00124509,0.00124509,0.00124509
15,35.5948,1.31612,1.33274,1.36388,0.55387,0.48922,0.53576,0.32488,1.38762,1.53266,1.39502,0.00123094,0.00123094,0.00123094
16,37.9552,1.25068,1.31196,1.30386,0.40935,0.50046,0.41961,0.21033,1.69161,1.52268,1.62576,0.00121679,0.00121679,0.00121679
17,40.352,1.30238,1.49564,1.39792,0.34925,0.46853,0.33556,0.16936,1.64348,1.63094,1.57478,0.00120265,0.00120265,0.00120265
18,42.7757,1.34521,1.47855,1.40016,0.39954,0.56464,0.4445,0.23912,1.5604,1.5533,1.50611,0.0011885,0.0011885,0.0011885
19,45.1154,1.24147,1.36237,1.32935,0.4522,0.56704,0.46111,0.25338,1.48599,1.50258,1.42498,0.00117435,0.00117435,0.00117435
20,47.4618,1.26084,1.36955,1.35187,0.4369,0.64759,0.4642,0.26109,1.48142,1.37462,1.44095,0.00116021,0.00116021,0.00116021
21,49.8122,1.28429,1.4068,1.34431,0.36421,0.45044,0.3183,0.16333,1.69691,1.88554,1.63628,0.00114606,0.00114606,0.00114606
22,52.1372,1.23292,1.33255,1.34886,0.3894,0.37714,0.33905,0.17337,1.81518,1.69841,1.6703,0.00113191,0.00113191,0.00113191
1,1.86456,1.31666,1.63789,1.37649,0.69796,0.5691,0.60938,0.37444,1.40674,1.21818,1.34601,0.00010003,0.00010003,0.00010003
2,4.36377,1.31962,1.58194,1.37284,0.59331,0.60375,0.59137,0.36485,1.38808,1.28246,1.32882,0.000212228,0.000212228,0.000212228
3,6.71711,1.32683,1.49564,1.33849,0.54781,0.67911,0.59567,0.36818,1.37057,1.31445,1.32851,0.000322162,0.000322162,0.000322162
4,9.05573,1.29054,1.49208,1.35216,0.5942,0.65677,0.61041,0.37294,1.39354,1.3053,1.33359,0.000429833,0.000429833,0.000429833
5,11.3512,1.23404,1.40891,1.29836,0.75137,0.58572,0.6214,0.37555,1.4234,1.27352,1.34371,0.000535241,0.000535241,0.000535241
6,13.7815,1.21035,1.43102,1.29003,0.71302,0.65816,0.62639,0.37531,1.40481,1.30498,1.3505,0.000638384,0.000638384,0.000638384
7,16.2353,1.1845,1.40351,1.30378,0.70386,0.66853,0.63673,0.37394,1.39552,1.26836,1.34873,0.000739265,0.000739265,0.000739265
8,18.5362,1.22528,1.41084,1.3142,0.69217,0.63032,0.62625,0.37288,1.42971,1.24545,1.36007,0.000837881,0.000837881,0.000837881
9,20.8158,1.18348,1.45539,1.27896,0.69738,0.6328,0.6321,0.37307,1.41117,1.35018,1.34958,0.000934234,0.000934234,0.000934234
10,23.1202,1.2534,1.35084,1.30558,0.68992,0.61863,0.63826,0.38078,1.394,1.39522,1.33858,0.00102832,0.00102832,0.00102832
11,25.5477,1.23008,1.3514,1.30835,0.67608,0.68182,0.63332,0.39536,1.33684,1.22686,1.30916,0.00112015,0.00112015,0.00112015
12,27.9863,1.25876,1.45475,1.33231,0.67101,0.65945,0.64813,0.405,1.33438,1.25481,1.31498,0.00120971,0.00120971,0.00120971
13,30.3676,1.18302,1.39592,1.29793,0.69514,0.65462,0.64434,0.394,1.3874,1.27454,1.34785,0.00125923,0.00125923,0.00125923
14,32.7114,1.16382,1.29698,1.2743,0.65913,0.64274,0.6404,0.37634,1.41579,1.24076,1.36051,0.00124509,0.00124509,0.00124509
15,34.9912,1.19782,1.33119,1.2926,0.6207,0.68284,0.64947,0.39286,1.37552,1.20688,1.34904,0.00123094,0.00123094,0.00123094
16,37.3093,1.15514,1.25416,1.25903,0.65752,0.66019,0.66447,0.39665,1.37934,1.18756,1.34968,0.00121679,0.00121679,0.00121679
17,39.6298,1.2284,1.40165,1.33665,0.65859,0.66512,0.64626,0.38757,1.36992,1.20729,1.35821,0.00120265,0.00120265,0.00120265
18,41.9341,1.26726,1.37657,1.34218,0.64302,0.63995,0.65296,0.3974,1.35001,1.22114,1.35845,0.0011885,0.0011885,0.0011885
19,44.2626,1.15793,1.28247,1.26967,0.63409,0.68232,0.65937,0.4044,1.33866,1.14329,1.34477,0.00117435,0.00117435,0.00117435
20,46.6991,1.15954,1.27642,1.28113,0.64193,0.6819,0.67432,0.41337,1.33589,1.09202,1.35107,0.00116021,0.00116021,0.00116021
21,49.1212,1.22531,1.37537,1.30688,0.58654,0.65581,0.65739,0.39862,1.36794,1.17265,1.36153,0.00114606,0.00114606,0.00114606
22,51.4386,1.16331,1.31073,1.28405,0.57725,0.62837,0.61557,0.37272,1.43043,1.23066,1.38694,0.00113191,0.00113191,0.00113191
23,53.714,1.2225,1.2765,1.31235,0.62645,0.6579,0.61119,0.35887,1.45787,1.16923,1.3966,0.00111776,0.00111776,0.00111776
24,55.9999,1.22857,1.29565,1.30448,0.66878,0.6824,0.6348,0.37015,1.42136,1.09185,1.369,0.00110362,0.00110362,0.00110362
25,58.2905,1.15459,1.23763,1.28329,0.69224,0.6661,0.64496,0.37058,1.40803,1.0781,1.36581,0.00108947,0.00108947,0.00108947
26,60.6143,1.23839,1.26044,1.31962,0.65276,0.64855,0.64052,0.37285,1.38138,1.09907,1.35578,0.00107532,0.00107532,0.00107532
27,62.981,1.14955,1.26069,1.25888,0.60024,0.65266,0.62701,0.37324,1.37497,1.15346,1.34709,0.00106118,0.00106118,0.00106118
28,65.2636,1.23544,1.32496,1.34337,0.63697,0.65521,0.62059,0.37036,1.38336,1.21429,1.35839,0.00104703,0.00104703,0.00104703
29,67.5515,1.23482,1.31422,1.32527,0.65673,0.62881,0.61858,0.37665,1.3596,1.19192,1.34577,0.00103288,0.00103288,0.00103288
30,69.8327,1.23388,1.30809,1.3207,0.64505,0.64097,0.62823,0.37624,1.3647,1.19591,1.34543,0.00101873,0.00101873,0.00101873
31,72.1234,1.17581,1.26781,1.29042,0.62842,0.67176,0.62872,0.36647,1.4054,1.2017,1.36071,0.00100459,0.00100459,0.00100459
32,74.4138,1.18733,1.32929,1.28642,0.64731,0.66414,0.64868,0.37171,1.42307,1.20016,1.36987,0.00099044,0.00099044,0.00099044
33,76.6886,1.22134,1.2099,1.29384,0.66444,0.6045,0.63301,0.38037,1.3838,1.11304,1.3583,0.000976293,0.000976293,0.000976293
34,79.0129,1.20378,1.21586,1.30279,0.6859,0.64219,0.65392,0.40111,1.33081,1.03825,1.33961,0.000962146,0.000962146,0.000962146
35,81.3142,1.23205,1.28875,1.322,0.65315,0.64653,0.65563,0.40521,1.33906,1.04092,1.34283,0.000947999,0.000947999,0.000947999
36,83.5907,1.1584,1.21102,1.29098,0.59859,0.65387,0.64526,0.39525,1.35799,1.06658,1.34557,0.000933851,0.000933851,0.000933851
37,85.9116,1.17301,1.19979,1.26094,0.64078,0.63787,0.6478,0.3936,1.31866,1.06373,1.33132,0.000919704,0.000919704,0.000919704
38,88.2026,1.21728,1.28117,1.31202,0.59779,0.66609,0.64291,0.40148,1.2883,1.06071,1.32008,0.000905557,0.000905557,0.000905557
39,90.4945,1.14858,1.20353,1.2623,0.62061,0.68123,0.67139,0.41075,1.28058,1.06689,1.31194,0.00089141,0.00089141,0.00089141
