epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.744467,3.15032,5.34183,2.8458,0.5306,0.46287,0.48899,0.30023,2.71755,3.25155,2.53484,8.574e-05,8.574e-05,8.574e-05
2,1.54338,3.07611,5.07883,2.86967,0.52641,0.45234,0.45269,0.2712,2.77472,3.12999,2.60705,0.000183931,0.000183931,0.000183931
3,2.34572,3.16396,5.04331,2.88592,0.58835,0.39572,0.45827,0.26143,2.98471,3.1116,2.67745,0.000280141,0.000280141,0.000280141
4,3.09973,2.91023,4.79613,2.71924,0.52373,0.43538,0.46355,0.26014,2.89407,3.266,2.64309,0.000374371,0.000374371,0.000374371
5,3.86838,3.04317,4.78901,2.81284,0.44394,0.36309,0.39662,0.22567,2.91801,3.61315,2.63242,0.00046662,0.00046662,0.00046662
6,4.61023,3.08056,4.75789,2.77594,0.52063,0.35951,0.40514,0.22046,2.94384,3.39212,2.60134,0.000556888,0.000556888,0.000556888
7,5.48876,3.13871,4.73856,2.82736,0.47977,0.40101,0.42766,0.23504,3.06062,3.48233,2.66345,0.000645176,0.000645176,0.000645176
8,6.21097,3.03812,4.57825,2.75231,0.43941,0.48784,0.45722,0.25031,3.13861,3.19644,2.6618,0.000731484,0.000731484,0.000731484
9,6.93315,2.98761,4.55105,2.73477,0.45951,0.45148,0.46664,0.26993,2.92401,2.97092,2.56443,0.00081581,0.00081581,0.00081581
10,7.64485,2.96203,4.69493,2.74517,0.41463,0.48478,0.43485,0.25195,3.0262,3.04825,2.60616,0.000898157,0.000898157,0.000898157
11,8.35366,2.98233,4.5901,2.78492,0.42644,0.43368,0.42371,0.24247,3.1339,3.2211,2.67353,0.000978522,0.000978522,0.000978522
12,9.09298,3.10645,4.64239,2.86831,0.52726,0.40059,0.43282,0.26367,2.90586,3.35051,2.64776,0.00105691,0.00105691,0.00105691
13,9.92732,3.03698,4.516,2.78874,0.48153,0.43122,0.43541,0.27506,2.80017,3.27922,2.62997,0.00113331,0.00113331,0.00113331
14,10.65,3.10851,4.44852,2.8087,0.43432,0.4242,0.42822,0.26794,2.84236,3.12274,2.60139,0.00120774,0.00120774,0.00120774
15,11.3708,3.18912,4.61803,2.90282,0.45034,0.49495,0.43042,0.2531,3.06621,3.33685,2.67515,0.00123094,0.00123094,0.00123094
16,12.0884,3.17105,4.75145,2.88449,0.46868,0.46967,0.40048,0.2387,2.92162,3.36108,2.62538,0.00121679,0.00121679,0.00121679
17,12.7935,3.07861,4.6706,2.84769,0.45354,0.47306,0.38356,0.23529,2.89123,3.43462,2.64404,0.00120265,0.00120265,0.00120265
18,13.5119,3.12076,4.59474,2.84827,0.54352,0.43519,0.44264,0.24588,3.15176,3.30063,2.77329,0.0011885,0.0011885,0.0011885
19,14.2301,3.0682,4.43742,2.84914,0.60124,0.4625,0.47412,0.24642,3.3207,3.15963,2.82966,0.00117435,0.00117435,0.00117435
20,14.9612,3.34469,4.95199,3.00595,0.52558,0.48921,0.47846,0.25552,3.28284,3.12039,2.86176,0.00116021,0.00116021,0.00116021
21,15.7723,3.12471,4.72583,2.83197,0.56372,0.44591,0.47407,0.23945,3.42632,3.29873,2.91288,0.00114606,0.00114606,0.00114606
1,0.867759,2.80717,4.86286,2.62158,0.56984,0.38579,0.46089,0.26955,2.67756,3.27292,2.52452,0.00010003,0.00010003,0.00010003
2,1.80422,2.89998,4.5621,2.65335,0.5105,0.4314,0.40105,0.24213,2.89615,3.21057,2.57967,0.000212228,0.000212228,0.000212228
3,2.66584,2.85611,4.38458,2.6476,0.43658,0.36745,0.405,0.24937,2.86025,3.38992,2.56626,0.000322162,0.000322162,0.000322162
4,3.52978,3.00888,4.40294,2.71905,0.41197,0.40163,0.38076,0.22586,2.86577,3.39075,2.61877,0.000429833,0.000429833,0.000429833
5,4.41286,2.94786,4.27093,2.68552,0.46679,0.42737,0.41961,0.25176,2.9292,3.18898,2.61462,0.000535241,0.000535241,0.000535241
6,5.39906,2.88122,4.28967,2.68472,0.44719,0.43277,0.42508,0.26004,2.86303,3.14845,2.62963,0.000638384,0.000638384,0.000638384
7,6.25473,3.06206,4.26117,2.771,0.46281,0.46679,0.43129,0.26032,2.86338,3.1044,2.58113,0.000739265,0.000739265,0.000739265
8,7.10724,2.88788,4.4039,2.68868,0.39173,0.39869,0.40563,0.24427,2.81899,3.29143,2.53078,0.000837881,0.000837881,0.000837881
9,7.9546,2.85628,4.26753,2.64443,0.50566,0.42097,0.45077,0.26319,3.0246,3.1796,2.71433,0.000934234,0.000934234,0.000934234
