epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.02561,1.53811,1.4761,1.43957,0.55432,0.58376,0.5536,0.31733,1.36751,1.19332,1.28413,6.666e-05,6.666e-05,6.666e-05
2,4.41576,1.49945,1.40038,1.41036,0.59129,0.53648,0.56001,0.32901,1.28199,1.12395,1.2357,0.00014223,0.00014223,0.00014223
3,5.9324,1.51267,1.3817,1.37703,0.57691,0.55499,0.56225,0.32757,1.27673,1.12184,1.22532,0.000215431,0.000215431,0.000215431
4,7.25151,1.43634,1.34726,1.37833,0.49849,0.67207,0.55049,0.31822,1.29764,1.11546,1.23115,0.000286264,0.000286264,0.000286264
5,8.5822,1.43881,1.28805,1.37373,0.57533,0.63817,0.59826,0.34013,1.327,1.08117,1.23559,0.000354727,0.000354727,0.000354727
6,10.0295,1.35354,1.21167,1.31117,0.64246,0.68377,0.6487,0.37295,1.29414,1.03643,1.22151,0.000420821,0.000420821,0.000420821
7,11.4861,1.35391,1.16812,1.30308,0.68267,0.65794,0.69668,0.41031,1.26707,1.0582,1.2063,0.000484546,0.000484546,0.000484546
8,12.8868,1.38904,1.17146,1.30039,0.70424,0.68849,0.70546,0.41782,1.25658,1.04294,1.19668,0.000545903,0.000545903,0.000545903
9,14.3291,1.31538,1.14654,1.30134,0.72333,0.67321,0.72114,0.43407,1.22604,1.00784,1.17851,0.00060489,0.00060489,0.00060489
10,15.7592,1.32145,1.10691,1.26861,0.72545,0.65545,0.72205,0.43195,1.20988,1.00162,1.16682,0.000661508,0.000661508,0.000661508
11,17.0545,1.29677,1.05067,1.25122,0.68894,0.66793,0.72326,0.43648,1.186,0.97481,1.15316,0.000715757,0.000715757,0.000715757
12,18.5482,1.23194,1.02778,1.23548,0.71042,0.67791,0.71202,0.4425,1.17069,0.97269,1.13726,0.000767638,0.000767638,0.000767638
13,19.9523,1.27598,1.02955,1.25005,0.68283,0.68947,0.71436,0.44751,1.14909,0.95309,1.12784,0.000817149,0.000817149,0.000817149
14,21.396,1.22999,1.01403,1.20931,0.67908,0.72292,0.72672,0.45963,1.09955,0.90924,1.10254,0.000864291,0.000864291,0.000864291
15,22.8665,1.24357,1.00659,1.23524,0.66533,0.72766,0.73281,0.46487,1.07901,0.89918,1.09161,0.000874101,0.000874101,0.000874101
16,24.2806,1.2549,1.03217,1.26378,0.65908,0.72477,0.7236,0.46688,1.06076,0.87081,1.08791,0.000857179,0.000857179,0.000857179
17,25.6954,1.20966,0.94157,1.21179,0.68806,0.6928,0.72539,0.46712,1.05068,0.87438,1.0828,0.000840258,0.000840258,0.000840258
18,27.1288,1.26102,0.98843,1.22684,0.74928,0.70412,0.71399,0.45453,1.05427,0.92123,1.08212,0.000823336,0.000823336,0.000823336
19,28.4454,1.26518,1.00208,1.26124,0.71459,0.72586,0.72057,0.46095,1.06754,0.89125,1.0854,0.000806415,0.000806415,0.000806415
20,29.7594,1.20628,0.93784,1.18334,0.65953,0.74287,0.72469,0.46215,1.07657,0.85521,1.08522,0.000789494,0.000789494,0.000789494
21,31.3241,1.3165,1.01061,1.25196,0.65136,0.73075,0.71926,0.46322,1.05756,0.8516,1.08008,0.000772572,0.000772572,0.000772572
22,32.6323,1.16959,0.93928,1.19588,0.66541,0.74091,0.71419,0.46319,1.01557,0.88135,1.07285,0.000755651,0.000755651,0.000755651
23,33.9601,1.15003,0.91948,1.17671,0.63979,0.68614,0.68649,0.44561,1.00451,0.90766,1.07045,0.00073873,0.00073873,0.00073873
24,35.3044,1.17781,0.95002,1.17952,0.66891,0.72854,0.68896,0.44886,1.02422,0.89835,1.08093,0.000721808,0.000721808,0.000721808
25,36.6002,1.22865,0.97578,1.24291,0.69192,0.70365,0.6897,0.44978,1.04252,0.90352,1.08884,0.000704887,0.000704887,0.000704887
