epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.36118,2.03263,3.87119,1.87767,0.24955,0.2,0.22116,0.15246,1.3922,2.333,1.37333,0.00010003,0.00010003,0.00010003
2,4.74332,1.70996,2.63956,1.65188,0.27109,0.44531,0.32049,0.18615,1.49336,4.03192,1.41377,0.000207919,0.000207919,0.000207919
3,7.21712,1.55593,2.15209,1.47732,0.2188,0.33602,0.23012,0.12916,1.67669,3.72011,1.4646,0.00030895,0.00030895,0.00030895
4,9.59613,1.44963,2.07914,1.4532,0.44914,0.37905,0.39055,0.19258,1.66802,3.1492,1.53454,0.000403121,0.000403121,0.000403121
5,12.097,1.45345,1.87792,1.42762,0.34678,0.40502,0.34443,0.20791,1.47159,2.21116,1.41155,0.000490433,0.000490433,0.000490433
6,14.6256,1.41377,1.8264,1.38171,0.40748,0.39644,0.34904,0.20135,1.54979,2.37305,1.47165,0.000570885,0.000570885,0.000570885
7,16.9519,1.41773,1.7398,1.41163,0.30902,0.38924,0.22312,0.11053,1.85681,4.51663,1.72003,0.000644479,0.000644479,0.000644479
8,19.2834,1.46007,1.73217,1.42564,0.44475,0.34896,0.36679,0.18388,1.71904,1.96767,1.58188,0.000711213,0.000711213,0.000711213
9,21.5769,1.43475,1.83079,1.4179,0.31371,0.5812,0.36465,0.17898,1.6686,1.58373,1.57849,0.000771088,0.000771088,0.000771088
10,23.8629,1.44455,1.6351,1.41245,0.47903,0.58096,0.47716,0.26634,1.49793,1.38894,1.50313,0.000824104,0.000824104,0.000824104
11,26.234,1.39793,1.56289,1.39245,0.42913,0.44057,0.35687,0.189,1.57435,1.7857,1.5488,0.000870261,0.000870261,0.000870261
12,28.5107,1.44387,1.64625,1.4429,0.4831,0.45185,0.44395,0.25355,1.55478,1.33871,1.52698,0.000909558,0.000909558,0.000909558
13,30.816,1.40367,1.63148,1.42416,0.62639,0.43793,0.52057,0.29794,1.58262,1.35876,1.53642,0.00091456,0.00091456,0.00091456
14,33.2478,1.37475,1.49712,1.40584,0.49022,0.58337,0.50977,0.29404,1.51794,1.36718,1.5185,0.00087169,0.00087169,0.00087169
15,35.5689,1.38319,1.52173,1.40338,0.46137,0.45616,0.35689,0.17846,1.61274,1.77838,1.58664,0.00082882,0.00082882,0.00082882
16,37.8559,1.30072,1.42615,1.3279,0.28358,0.48609,0.27829,0.14268,1.61353,1.90621,1.57262,0.00078595,0.00078595,0.00078595
17,40.1575,1.36407,1.62348,1.40963,0.39879,0.37735,0.3557,0.20352,1.57878,1.55504,1.48243,0.00074308,0.00074308,0.00074308
18,42.4768,1.40116,1.63734,1.42275,0.5284,0.526,0.48036,0.29188,1.46185,1.28899,1.45356,0.00070021,0.00070021,0.00070021
19,44.8035,1.31821,1.44652,1.3622,0.59073,0.50714,0.52071,0.31153,1.48187,1.23394,1.43911,0.00065734,0.00065734,0.00065734
20,47.279,1.32116,1.40884,1.38677,0.54133,0.5654,0.53465,0.3135,1.48843,1.42371,1.48654,0.00061447,0.00061447,0.00061447
21,50.3801,1.14787,1.43642,1.27152,0.55831,0.57863,0.54455,0.31109,1.45585,1.35336,1.4628,0.0005716,0.0005716,0.0005716
22,52.7283,1.18869,1.34469,1.2844,0.63187,0.57128,0.58157,0.35639,1.39925,1.19021,1.42079,0.00052873,0.00052873,0.00052873
23,55.0681,1.18672,1.33501,1.29739,0.57769,0.61311,0.57817,0.35356,1.5013,1.13929,1.48806,0.00048586,0.00048586,0.00048586
24,57.3653,1.15158,1.26604,1.27412,0.56283,0.61956,0.54253,0.34217,1.36672,1.20873,1.40463,0.00044299,0.00044299,0.00044299
25,59.6154,1.1611,1.23818,1.26259,0.64109,0.61549,0.57605,0.33998,1.42683,1.12114,1.42996,0.00040012,0.00040012,0.00040012
26,61.8558,1.11093,1.20531,1.24016,0.67902,0.6156,0.63955,0.37635,1.46809,1.05204,1.42995,0.00035725,0.00035725,0.00035725
27,64.2563,1.09959,1.18573,1.27087,0.65467,0.69005,0.64887,0.396,1.35836,1.06719,1.35916,0.00031438,0.00031438,0.00031438
28,66.6334,1.0869,1.14403,1.20713,0.62248,0.67571,0.62807,0.3826,1.33323,1.19951,1.34997,0.00027151,0.00027151,0.00027151
29,68.8601,1.1449,1.17628,1.27787,0.64008,0.63789,0.61773,0.38392,1.34208,1.32588,1.34428,0.00022864,0.00022864,0.00022864
30,71.0989,1.07462,1.17632,1.23174,0.62673,0.59596,0.6186,0.38445,1.39104,1.28547,1.35571,0.00018577,0.00018577,0.00018577
1,2.27655,1.85891,3.33084,1.8725,0.26126,0.18113,0.165,0.07746,1.54205,2.92819,1.40164,0.00010003,0.00010003,0.00010003
2,4.77974,1.83677,3.10594,1.83687,0.34852,0.26934,0.2718,0.15846,1.50107,2.37645,1.34865,0.000207919,0.000207919,0.000207919
3,7.23879,1.72579,2.68573,1.6549,0.35922,0.31028,0.30702,0.19032,1.44003,2.11696,1.33372,0.00030895,0.00030895,0.00030895
4,9.67632,1.64822,2.55494,1.65351,0.69331,0.33785,0.32674,0.19582,1.48205,1.97572,1.37006,0.000403121,0.000403121,0.000403121
5,12.13,1.57508,2.25672,1.56232,0.71705,0.31957,0.3373,0.1945,1.53237,1.96056,1.4048,0.000490433,0.000490433,0.000490433
6,14.411,1.53397,2.18337,1.49752,0.71906,0.33121,0.35258,0.20341,1.50696,1.966,1.38297,0.000570885,0.000570885,0.000570885
7,16.8634,1.48706,2.02562,1.49318,0.75318,0.38909,0.39339,0.2244,1.48245,1.79994,1.35735,0.000644479,0.000644479,0.000644479
8,19.2768,1.52441,2.00437,1.48029,0.48627,0.38485,0.42146,0.24455,1.48901,1.63327,1.35856,0.000711213,0.000711213,0.000711213
9,21.6585,1.47178,1.95438,1.44648,0.47124,0.40758,0.45823,0.26782,1.47684,1.55341,1.36184,0.000771088,0.000771088,0.000771088
10,24.0991,1.46181,1.82026,1.44457,0.41924,0.53528,0.48114,0.28556,1.48941,1.48248,1.34611,0.000824104,0.000824104,0.000824104
11,26.4977,1.46916,1.77721,1.45502,0.47357,0.56137,0.51279,0.30544,1.47249,1.42421,1.33262,0.000870261,0.000870261,0.000870261
12,28.8615,1.45747,1.88726,1.46873,0.50026,0.57772,0.52216,0.30911,1.4457,1.46202,1.32795,0.000909558,0.000909558,0.000909558
13,31.2601,1.40814,1.80604,1.44074,0.48998,0.57452,0.51815,0.30942,1.42603,1.51073,1.33974,0.00091456,0.00091456,0.00091456
14,33.5126,1.33855,1.70016,1.38112,0.51395,0.57863,0.53842,0.32,1.4205,1.47124,1.3332,0.00087169,0.00087169,0.00087169
15,35.8933,1.37731,1.70397,1.40241,0.53039,0.57266,0.54709,0.32668,1.43239,1.39918,1.34016,0.00082882,0.00082882,0.00082882
16,38.2587,1.33037,1.56134,1.37145,0.59944,0.59193,0.56539,0.33763,1.44208,1.33988,1.34959,0.00078595,0.00078595,0.00078595
17,40.6315,1.35426,1.70731,1.42264,0.6377,0.56092,0.55933,0.33687,1.44841,1.36351,1.36277,0.00074308,0.00074308,0.00074308
18,42.9263,1.41666,1.70342,1.4488,0.63315,0.56369,0.56821,0.3414,1.47401,1.37016,1.37142,0.00070021,0.00070021,0.00070021
19,45.3036,1.31405,1.56293,1.36342,0.64402,0.58136,0.59089,0.34559,1.51199,1.34121,1.38142,0.00065734,0.00065734,0.00065734
20,47.721,1.31627,1.58351,1.37272,0.64047,0.59825,0.59612,0.35174,1.50011,1.29633,1.37204,0.00061447,0.00061447,0.00061447
21,50.7181,1.13261,1.5097,1.23235,0.63912,0.58222,0.59101,0.35098,1.47601,1.29106,1.36278,0.0005716,0.0005716,0.0005716
22,52.9853,1.13087,1.49901,1.24743,0.63887,0.58131,0.59804,0.34785,1.47047,1.30481,1.36965,0.00052873,0.00052873,0.00052873
23,55.2243,1.1966,1.44085,1.28147,0.72864,0.56707,0.60375,0.35261,1.47169,1.32418,1.37834,0.00048586,0.00048586,0.00048586
24,57.5998,1.13997,1.39112,1.24263,0.74116,0.5725,0.60749,0.3579,1.45458,1.32753,1.37481,0.00044299,0.00044299,0.00044299
25,59.9517,1.11878,1.35483,1.22866,0.73205,0.56095,0.60131,0.36472,1.43375,1.29487,1.36321,0.00040012,0.00040012,0.00040012
26,62.3319,1.10974,1.37461,1.23958,0.70227,0.56917,0.61942,0.37538,1.42355,1.24605,1.35554,0.00035725,0.00035725,0.00035725
27,64.7159,1.08263,1.32925,1.23586,0.67513,0.58646,0.6099,0.37127,1.41576,1.22041,1.35188,0.00031438,0.00031438,0.00031438
28,66.9537,1.0828,1.33754,1.20999,0.66797,0.58453,0.61323,0.36998,1.41147,1.2008,1.3535,0.00027151,0.00027151,0.00027151
29,69.1571,1.07954,1.323,1.24157,0.66763,0.58545,0.61974,0.36845,1.40469,1.20659,1.35211,0.00022864,0.00022864,0.00022864
30,71.43,1.12407,1.38545,1.2479,0.66216,0.58526,0.61688,0.36703,1.40572,1.21417,1.35208,0.00018577,0.00018577,0.00018577
1,4.36534,1.72547,2.75686,1.68851,0.34032,0.30788,0.29738,0.16998,1.54842,2.1863,1.37787,0.00022864,0.00022864,0.00022864
2,8.5632,1.43289,1.76764,1.46248,0.66678,0.31424,0.333,0.18382,1.6039,1.95738,1.45841,0.000457423,0.000457423,0.000457423
3,12.8222,1.34859,1.5267,1.3686,0.70374,0.38152,0.36918,0.19988,1.58452,1.77682,1.44002,0.00067163,0.00067163,0.00067163
4,17.0029,1.25732,1.40627,1.3192,0.44513,0.37909,0.40758,0.23524,1.53299,1.73093,1.45053,0.000871261,0.000871261,0.000871261
5,21.1219,1.19509,1.27569,1.29582,0.4527,0.42117,0.45776,0.26042,1.51713,1.55692,1.42026,0.00105632,0.00105632,0.00105632
6,25.2801,1.15855,1.24572,1.30994,0.59812,0.5056,0.53033,0.30329,1.51045,1.51419,1.4528,0.00121465,0.00121465,0.00121465
7,29.4047,1.10806,1.11055,1.25537,0.55212,0.49526,0.51296,0.30062,1.48181,1.39553,1.44838,0.00117178,0.00117178,0.00117178
8,33.4344,1.12998,1.09888,1.26651,0.44716,0.55829,0.46089,0.27326,1.475,1.52626,1.43141,0.00112891,0.00112891,0.00112891
9,37.4949,1.06033,1.0695,1.21818,0.54053,0.66874,0.56125,0.33667,1.40795,1.2184,1.40744,0.00108604,0.00108604,0.00108604
1,4.16648,1.72547,2.75686,1.68851,0.34032,0.30788,0.29738,0.16998,1.54842,2.1863,1.37787,0.00022864,0.00022864,0.00022864
2,8.39149,1.43289,1.76764,1.46248,0.66678,0.31424,0.333,0.18382,1.6039,1.95738,1.45841,0.000457423,0.000457423,0.000457423
3,12.6283,1.34859,1.5267,1.3686,0.70374,0.38152,0.36918,0.19988,1.58452,1.77682,1.44002,0.00067163,0.00067163,0.00067163
4,16.756,1.25732,1.40627,1.3192,0.44513,0.37909,0.40758,0.23524,1.53299,1.73093,1.45053,0.000871261,0.000871261,0.000871261
5,20.8965,1.19509,1.27569,1.29582,0.4527,0.42117,0.45776,0.26042,1.51713,1.55692,1.42026,0.00105632,0.00105632,0.00105632
6,25.0435,1.15855,1.24572,1.30994,0.59812,0.5056,0.53033,0.30329,1.51045,1.51419,1.4528,0.00121465,0.00121465,0.00121465
7,29.1526,1.10806,1.11055,1.25537,0.55212,0.49526,0.51296,0.30062,1.48181,1.39553,1.44838,0.00117178,0.00117178,0.00117178
8,33.1556,1.12998,1.09888,1.26651,0.44716,0.55829,0.46089,0.27326,1.475,1.52626,1.43141,0.00112891,0.00112891,0.00112891
9,37.1923,1.06033,1.0695,1.21818,0.54053,0.66874,0.56125,0.33667,1.40795,1.2184,1.40744,0.00108604,0.00108604,0.00108604
10,41.3087,1.10899,1.08981,1.23153,0.58682,0.5958,0.5729,0.33385,1.45818,1.27391,1.42443,0.00104317,0.00104317,0.00104317
11,45.3786,1.07664,1.0513,1.21755,0.59366,0.56797,0.57166,0.32703,1.4625,1.23181,1.42271,0.0010003,0.0010003,0.0010003
12,49.3791,1.03821,1.00792,1.19609,0.6179,0.58157,0.58627,0.34564,1.4261,1.27461,1.4184,0.00095743,0.00095743,0.00095743
13,53.5342,1.07574,1.06731,1.23936,0.656,0.64205,0.64291,0.38631,1.41969,1.1643,1.41631,0.00091456,0.00091456,0.00091456
14,57.6749,1.05602,0.98435,1.20273,0.62034,0.6545,0.63427,0.36861,1.44908,1.24156,1.40864,0.00087169,0.00087169,0.00087169
15,61.7259,1.06145,1.00734,1.21249,0.60158,0.67045,0.63807,0.37009,1.42642,1.18455,1.40825,0.00082882,0.00082882,0.00082882
16,65.7256,1.00304,0.9432,1.18227,0.62611,0.63041,0.62598,0.36666,1.40899,1.2289,1.39298,0.00078595,0.00078595,0.00078595
17,69.7609,1.03322,0.94904,1.19191,0.63957,0.6111,0.593,0.35063,1.46087,1.23406,1.40821,0.00074308,0.00074308,0.00074308
18,73.8279,1.01799,0.94124,1.19653,0.62888,0.60064,0.57635,0.3604,1.3891,1.23749,1.39023,0.00070021,0.00070021,0.00070021
19,77.8678,1.02259,0.92167,1.19595,0.59048,0.6087,0.56615,0.35382,1.37442,1.2954,1.36698,0.00065734,0.00065734,0.00065734
20,81.8805,1.03233,0.93285,1.19502,0.61903,0.60919,0.56402,0.35112,1.39062,1.2139,1.39291,0.00061447,0.00061447,0.00061447
21,86.5124,0.8522,0.82809,1.09933,0.66228,0.5976,0.59916,0.37341,1.3859,1.19728,1.39247,0.0005716,0.0005716,0.0005716
22,90.5256,0.81705,0.7711,1.07171,0.70128,0.60491,0.63961,0.39479,1.39323,1.17995,1.39491,0.00052873,0.00052873,0.00052873
