epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.797029,2.61597,5.31695,2.42143,0.00254,0.1875,0.00326,0.00033,2.27881,3.99677,2.03075,0,0,0
2,1.03767,2.66713,5.72043,2.33919,0.00252,0.1875,0.00329,0.0004,2.30037,4.00215,2.05042,1.30039e-05,1.30039e-05,1.30039e-05
3,1.3106,2.60624,5.68358,2.65185,0.00256,0.1875,0.00334,0.00041,2.28825,4.01925,2.04123,2.34356e-05,2.34356e-05,2.34356e-05
4,1.5976,2.3308,6.59397,2.10162,0.0017,0.125,0.0018,0.00025,2.2806,4.02222,2.02459,3.12951e-05,3.12951e-05,3.12951e-05
5,1.82085,2.56509,6.04631,2.51828,0.0017,0.125,0.00185,0.00026,2.29351,4.0102,2.01924,3.65824e-05,3.65824e-05,3.65824e-05
6,2.0388,2.57557,5.25084,2.50987,0.00085,0.0625,0.00073,0.00015,2.29692,4.01321,2.0197,3.92975e-05,3.92975e-05,3.92975e-05
7,2.28825,2.37093,5.04114,2.35877,0.00085,0.0625,0.00073,7e-05,2.29892,4.00514,2.01647,3.94404e-05,3.94404e-05,3.94404e-05
8,2.59769,2.34682,5.25542,2.3687,0.00085,0.0625,0.00073,7e-05,2.29506,4.00077,2.00816,3.70111e-05,3.70111e-05,3.70111e-05
9,2.91043,2.60468,5.14642,2.57502,0.00085,0.0625,0.00071,7e-05,2.29198,4.00294,1.99947,3.20096e-05,3.20096e-05,3.20096e-05
10,3.25268,2.28412,4.90562,2.39596,0,0,0,0,2.27933,4.01285,1.98348,2.44359e-05,2.44359e-05,2.44359e-05
1,0.363683,1.41202,3.05747,1.1418,0.20521,0.8125,0.47019,0.25154,1.50789,3.80779,1.45761,0,0,0
2,0.642737,1.94997,2.97617,1.56512,0.20266,0.8125,0.47962,0.25217,1.51294,3.82423,1.46246,1.36469e-05,1.36469e-05,1.36469e-05
3,0.905938,1.74419,2.41514,1.45301,0.20635,0.8125,0.48369,0.25202,1.51743,3.78451,1.46433,2.60078e-05,2.60078e-05,2.60078e-05
4,1.14737,1.71802,2.39502,1.38868,0.20469,0.8125,0.48854,0.25491,1.51406,3.75334,1.46032,3.70825e-05,3.70825e-05,3.70825e-05
