epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.35376,4.3836,8.10617,3.94391,0.0064,0.20258,0.01236,0.00576,2.5443,7.02662,2.49047,8.574e-05,8.574e-05,8.574e-05
2,2.24553,3.97576,7.99821,3.71409,0.00707,0.26159,0.02297,0.01154,2.50441,7.05247,2.46433,0.000180197,0.000180197,0.000180197
3,3.04605,3.64269,7.51859,3.28763,0.01008,0.37483,0.06086,0.03565,2.7274,6.84143,2.46759,0.000268652,0.000268652,0.000268652
4,3.78709,3.30977,7.20738,3.03096,0.01332,0.48184,0.10086,0.06038,2.85816,6.7267,2.48875,0.000351105,0.000351105,0.000351105
5,4.55862,3.38201,6.91441,3.05586,0.01221,0.43116,0.11083,0.05922,2.77251,6.73576,2.52006,0.000427557,0.000427557,0.000427557
6,5.28843,3.37548,6.68151,2.95485,0.01123,0.39815,0.1101,0.05657,3.00378,6.63449,2.64881,0.000498006,0.000498006,0.000498006
7,6.04394,3.43964,6.42691,3.0465,0.01204,0.42117,0.10702,0.05662,2.99523,6.55595,2.70072,0.000562454,0.000562454,0.000562454
8,6.89623,3.32383,6.10427,2.93759,0.01476,0.51817,0.17952,0.0806,3.13299,6.3941,2.73998,0.0006209,0.0006209,0.0006209
9,7.62876,3.32622,5.85733,2.91051,0.01871,0.63786,0.23511,0.11552,3.11635,6.01288,2.80202,0.000673345,0.000673345,0.000673345
10,8.35403,3.32119,5.83578,2.91529,0.02343,0.71885,0.26794,0.14931,2.99461,5.60128,2.68159,0.000719787,0.000719787,0.000719787
11,9.09095,3.23433,5.54419,2.93959,0.02409,0.77623,0.3152,0.1711,2.99691,5.39732,2.63581,0.000760228,0.000760228,0.000760228
12,9.84892,3.33809,5.59508,3.02796,0.02617,0.7333,0.27553,0.1429,3.03675,5.56876,2.73566,0.000794667,0.000794667,0.000794667
13,10.5587,3.24166,5.35944,2.91811,0.11013,0.65993,0.27949,0.15267,2.90101,5.33416,2.60432,0.000823104,0.000823104,0.000823104
14,11.2814,3.29222,5.17477,2.91826,0.63932,0.1756,0.31305,0.16761,3.01342,4.95684,2.70883,0.000845539,0.000845539,0.000845539
15,12.0984,3.31681,5.32975,3.01594,0.37525,0.16985,0.29925,0.16256,3.20351,5.07199,2.78269,0.00082882,0.00082882,0.00082882
16,12.8175,3.32289,5.36943,2.978,0.39074,0.1628,0.27855,0.14239,3.0468,4.70496,2.6819,0.00078595,0.00078595,0.00078595
17,13.5137,3.25075,5.28881,2.9461,0.44273,0.24455,0.33544,0.17094,3.06101,4.33793,2.64883,0.00074308,0.00074308,0.00074308
18,14.2504,3.23429,5.14768,2.91278,0.48286,0.35957,0.3968,0.20879,2.99646,3.86608,2.62797,0.00070021,0.00070021,0.00070021
19,14.9902,3.12584,4.94803,2.88085,0.53016,0.39166,0.43652,0.20726,3.35085,3.69626,2.83629,0.00065734,0.00065734,0.00065734
20,15.7341,3.41683,5.57384,3.0596,0.4979,0.41851,0.45758,0.24003,3.13334,3.53783,2.69391,0.00061447,0.00061447,0.00061447
21,17.0903,2.63348,6.03123,2.58699,0.51446,0.3921,0.45503,0.22605,3.32301,3.71993,2.77093,0.0005716,0.0005716,0.0005716
